172.24.0.1 - - [11/Oct/2023:22:47:16 +0800] "GET /api/todo HTTP/1.1" 200 2 "-" "Thunder Client (https://www.thunderclient.com)" 0.023 msec
172.25.0.1 - - [11/Oct/2023:23:11:33 +0800] "GET / HTTP/1.1" 502 559 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" 0.004 msec
172.25.0.1 - - [11/Oct/2023:23:11:33 +0800] "GET /favicon.ico HTTP/1.1" 502 559 "http://localhost/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" 0.001 msec
172.25.0.1 - - [11/Oct/2023:23:12:19 +0800] "GET /todo HTTP/1.1" 502 559 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" 0.003 msec
172.25.0.1 - - [11/Oct/2023:23:12:19 +0800] "GET /favicon.ico HTTP/1.1" 502 559 "http://localhost/todo" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" 0.000 msec
172.25.0.1 - - [11/Oct/2023:23:12:48 +0800] "GET / HTTP/1.1" 502 559 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" 0.003 msec
172.25.0.1 - - [11/Oct/2023:23:12:48 +0800] "GET /favicon.ico HTTP/1.1" 502 559 "http://localhost/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" 0.000 msec
172.25.0.1 - - [11/Oct/2023:23:12:52 +0800] "GET / HTTP/1.1" 502 559 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" 0.001 msec
172.25.0.1 - - [11/Oct/2023:23:12:52 +0800] "GET /favicon.ico HTTP/1.1" 502 559 "http://localhost/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" 0.001 msec
172.25.0.1 - - [11/Oct/2023:23:13:18 +0800] "GET /api/todo HTTP/1.1" 200 2 "-" "Thunder Client (https://www.thunderclient.com)" 0.026 msec
172.25.0.1 - - [11/Oct/2023:23:13:36 +0800] "POST /todo HTTP/1.1" 502 157 "-" "Thunder Client (https://www.thunderclient.com)" 0.014 msec
